"","playerId","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"2237",20150207,"LB",73,244,23.6246575342466,4.83,32,23,4.27,111,7.35,6,207
"2238",20150084,"LB",73,236,22.8547945205479,4.68,38,20,4.15,124,6.78,3,84
"2239",20150024,"OT",77,307,21.3506849315068,5.12,31,26,4.64,104,7.87,1,24
"2240",20150227,"DE",75,275,23.6684931506849,4.88,31,16,4.58,111,7.39,7,227
"2241",20150231,"RB",73,245,23.8794520547945,5.02,31.5,30,4.33,110,7.24,7,231
"2242",20150160,"TE",79,261,20.9178082191781,4.83,37.5,26,4.5,121,7.53,5,160
"2243",20150137,"DT",72,305,22.0191780821918,5.06,31,30,4.56,112,7.37,5,137
"2244",20150181,"S",70,200,22.0027397260274,4.57,33,21,4.4,109,6.95,6,181
"2246",20150086,"RB",73,224,23.386301369863,4.5,41.5,25,4.27,127,6.82,3,86
"2250",20150234,"WR",76,214,22.413698630137,4.58,33.5,16,4.28,119,7.11,7,234
"2251",20150156,"WR",75,192,22.841095890411,4.61,36,10,4.13,114,6.92,5,156
"2255",20150083,"DB",71,200,22.8986301369863,4.44,38,17,4.07,130,6.83,3,83
"2257",20150061,"C",76,307,22.0493150684932,4.98,30.5,30,4.47,108,7.33,2,61
"2258",20150082,"OLB",76,259,22.5917808219178,4.85,32,23,4.58,112,7.47,3,82
"2259",20150245,"WR",72,210,22.4246575342466,4.41,38,16,4.08,122,6.96,7,245
"2260",20150145,"DB",71,192,21.7123287671233,4.51,36,17,3.82,130,6.8,5,145
"2263",20150043,"LB",76,250,22.4575342465753,4.66,40.5,16,4.27,121,7.21,2,43
"2264",20150081,"OG",75,315,21.7287671232877,5.33,27,29,4.75,104,8.2,3,81
"2265",20150049,"OL",78,305,23.0383561643836,5.14,31,36,4.5,112,7.6,2,49
"2266",20150098,"DB",71,194,22.2821917808219,4.49,34.5,19,4.07,115,6.88,3,98
"2267",20150217,"DT",74,307,21.8383561643836,5.02,34,26,4.69,114,7.67,6,217
"2268",20150074,"DE",76,264,23.0931506849315,4.62,39,25,4.19,127,7.36,3,74
"2269",20150194,"TE",75,252,22.6767123287671,4.93,30.5,21,4.5,110,7.4,6,194
"2271",20150018,"DB",72,197,22.3178082191781,4.53,37.5,17,4.08,121,7.08,1,18
"2272",20150052,"DT",78,333,22.6191780821918,5.17,30,28,4.68,105,7.88,2,52
"2273",20150130,"OT",77,300,23.186301369863,5.09,31,25,4.66,113,7.9,4,130
"2274",20150066,"OT",77,330,20.7424657534247,5.32,26.5,26,4.89,95,8.09,3,66
"2276",20150143,"TE",74,243,23.1150684931507,4.58,38,17,4.37,118,7.25,5,143
"2277",20150219,"LB",72,235,23.0465753424658,4.78,31,19,4.39,110,7.07,7,219
"2278",20150030,"S",71,196,22.6821917808219,4.46,38,14,4.07,120,6.83,1,30
"2279",20150064,"S",71,210,22.2849315068493,4.65,32,13,4.22,111,6.74,2,64
"2280",20150232,"OLB",75,245,23.1972602739726,4.61,37,20,4.38,121,7.49,7,232
"2281",20150062,"DB",71,195,22.8054794520548,4.57,36.5,14,4.28,122,7.1,2,62
"2282",20150047,"DB",73,205,22.586301369863,4.45,39,19,3.97,125,6.7,2,47
"2284",20150163,"DE",77,275,23.2986301369863,4.75,32.5,25,4.47,119,7.25,5,163
"2285",20150129,"OLB",74,240,23.186301369863,4.65,34,20,4.2,120,7.11,4,129
"2286",20150059,"OL",77,315,23.1534246575342,5.36,29,23,4.58,97,7.54,2,59
"2288",20150120,"DB",73,190,23.1068493150685,4.44,37.5,26,4.12,130,7.01,4,120
"2289",20150012,"DT",74,335,21.7068493150685,5.64,30.5,34,4.65,95,7.99,1,12
"2290",20150228,"OT",76,327,22.9369863013699,5.39,29,17,4.7,94,8.04,7,228
"2291",20150223,"DT",76,332,24.8328767123288,5.12,29.5,35,4.76,105,7.92,7,223
"2292",20150065,"DB",71,193,22.613698630137,4.45,36,18,4.26,124,6.96,3,65
"2293",20150034,"OT",78,338,21.8657534246575,5.27,32,26,4.79,109,7.95,2,34
"2294",20150038,"DE",77,265,22.4630136986301,4.74,34,24,4.28,121,7.07,2,38
"2295",20150170,"DB",72,195,22.0054794520548,4.6,36.5,15,3.96,124,6.97,5,170
"2296",20150122,"DE",76,275,22.6547945205479,4.83,29,23,4.66,113,7.42,4,122
"2297",20150028,"OG",75,312,23.2356164383562,5.33,31.5,25,4.87,103,8.17,1,28
"2300",20150068,"TE",76,250,23.5397260273973,4.79,30.5,20,4.57,120,7.32,3,68
"2301",20150204,"WR",78,255,22.641095890411,4.46,37,12,4.25,125,7.07,6,204
"2302",20150199,"DT",77,305,23.0958904109589,5.25,27,25,4.78,103,7.91,6,199
"2304",20150011,"DB",72,190,22.7780821917808,4.31,38,19,4.39,122,7.06,1,11
