"","playerId","nameFull","position","heightInches","weight","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone","round","pick"
"295",20020080,"Will Overstreet","LB",74,259,22.5506849315069,4.62,32.5,21,4.31,114,7.37,3,80
"296",20020060,"Anton Palepoi","DE",76,297,23.4328767123288,4.82,33.5,24,4.27,113,7.46,2,60
"297",20020103,"Justin Peelle","TE",76,251,23.1150684931507,4.78,29,21,4.29,109,7.34,4,103
"298",20020124,"Scott Peters","C",75,308,23.4219178082192,5.14,33.5,36,4.69,95,7.68,4,124
"299",20020199,"Adrian Peterson","RB",70,212,22.8191780821918,4.69,34,14,4.6,117,7.59,6,199
"300",20020255,"Zack Quaccia","C",76,309,23.0164383561644,5.37,26.5,23,4.6,91,7.9,7,255
"302",20020177,"Nick Rogers","LB",74,251,22.9041095890411,4.65,36,22,4.19,115,7.02,6,177
"303",20020259,"Victor Rogers","OG",78,330,23.4575342465753,5.58,25,20,5.16,92,9,7,259
"305",20020160,"Robert Royal","TE",76,257,22.9479452054795,4.97,31,14,4.27,114,7.37,5,160
"306",20020185,"Josh Scobey","RB",72,220,22.372602739726,4.44,40.5,21,3.93,122,6.96,6,185
"307",20020234,"Greg Scott","DE",76,293,22.5643835616438,4.92,32.5,26,4.61,110,7.5,7,234
"309",20020172,"Josh Shaw","DT",75,305,22.6328767123288,5.08,37.5,22,4.12,130,7.01,5,172
"310",20020030,"Kendall Simmons","OG",75,315,23.1260273972603,5.34,28.5,24,4.71,98,7.84,1,30
"313",20020038,"Raonall Smith","LB",74,245,23.5095890410959,4.56,42,26,4.11,121,7.1,2,38
"315",20020193,"John Stamper","DE",76,265,23.6547945205479,4.97,36.5,24,4.22,110,7.35,6,193
"317",20020111,"Ben Taylor","LB",74,238,23.6520547945205,4.79,35.5,19,4.09,116,6.56,4,111
"318",20020031,"Robert Thomas","LB",72,235,21.772602739726,4.53,34,21,4.1,114,7.21,1,31
